Internal_Storage_ID;WeatherbitIO_station_id;latitude;longitude;source;reports;ios2_country;
GR_166060X;166060-99999;41.067;23.567;isd;hourly;GR;
GR_166100X;166100-99999;41.117;25.4;isd;hourly;GR;
GR_166130X;166130-99999;40.783;21.4;isd;hourly;GR;
GR_166140X;166140-99999;40.446;21.282;isd;hourly;GR;
GR_166181X;166181-99999;40.814;22.046;isd;hourly;GR;
GR_166200X;166200-99999;40.55;23.017;isd;hourly;GR;
GR_166220X;166220-99999;40.52;22.971;isd;hourly;GR;
GR_166240X;166240-99999;40.913;24.619;isd;hourly;GR;
GR_166250X;166250-99999;40.933;24.383;isd;hourly;GR;
GR_166270X;166270-99999;40.856;25.956;isd;hourly;GR;
GR_166320X;166320-99999;40.286;21.841;isd;hourly;GR;
GR_166410X;166410-99999;39.602;19.912;isd;hourly;GR;
GR_166420X;166420-99999;39.7;20.817;isd;hourly;GR;
GR_166421X;166421-99999;37.017;25.133;isd;hourly;GR;
GR_166430X;166430-99999;38.925;20.765;isd;hourly;GR;
GR_166450X;166450-99999;39.55;21.767;isd;hourly;GR;
GR_166480X;166480-99999;39.65;22.466;isd;hourly;GR;
GR_166500X;166500-99999;39.917;25.236;isd;hourly;GR;
GR_166510X;166510-99999;39.933;25.25;isd;hourly;GR;
GR_166540X;166540-99999;39.167;21;isd;hourly;GR;
GR_166560X;166560-99999;39.167;21;isd;hourly;GR;
GR_166610X;166610-99999;39.367;22.95;isd;hourly;GR;
GR_166620X;166620-99999;39.117;23.733;isd;hourly;GR;
GR_166650X;166650-99999;39.22;22.794;isd;hourly;GR;
GR_166651X;166651-99999;39.217;22.8;isd;hourly;GR;
GR_166653X;166653-99999;39.177;23.504;isd;hourly;GR;
GR_166670X;166670-99999;39.057;26.598;isd;hourly;GR;
GR_166690X;166690-99999;38.833;20.717;isd;hourly;GR;
GR_166691X;166691-99999;38.833;20.717;isd;hourly;GR;
GR_166720X;166720-99999;38.6;21.35;isd;hourly;GR;
GR_166740X;166740-99999;38.383;23.1;isd;hourly;GR;
GR_166750X;166750-99999;38.883;22.433;isd;hourly;GR;
GR_166820X;166820-99999;37.921;21.293;isd;hourly;GR;
GR_166830X;166830-99999;38.633;24.1;isd;hourly;GR;
GR_166840X;166840-99999;38.968;24.487;isd;hourly;GR;
GR_166850X;166850-99999;38.12;20.5;isd;hourly;GR;
GR_166870X;166870-99999;38.151;21.426;isd;hourly;GR;
GR_166890X;166890-99999;38.25;21.733;isd;hourly;GR;
GR_166900X;166900-99999;38.6;21.783;isd;hourly;GR;
GR_166931X;166931-99999;38.417;22.529;isd;hourly;GR;
GR_166970X;166970-99999;38.467;23.6;isd;hourly;GR;
GR_166990X;166990-99999;38.34;23.565;isd;hourly;GR;
GR_167010X;167010-99999;38.05;23.667;isd;hourly;GR;
GR_167040X;167040-99999;38.367;26.15;isd;hourly;GR;
GR_167050X;167050-99999;37.783;20.883;isd;hourly;GR;
GR_167060X;167060-99999;38.343;26.141;isd;hourly;GR;
GR_167100X;167100-99999;37.531;22.404;isd;hourly;GR;
GR_167110X;167110-99999;37.517;22.35;isd;hourly;GR;
GR_167120X;167120-99999;37.933;22.95;isd;hourly;GR;
GR_167131X;167131-99999;37.583;22.767;isd;hourly;GR;
GR_167140X;167140-99999;37.967;23.717;isd;hourly;GR;
GR_167150X;167150-99999;38.109;23.784;isd;hourly;GR;
GR_167160X;167160-99999;37.882;23.735;isd;hourly;GR;
GR_167161X;167161-99999;37.936;23.944;isd;hourly;GR;
GR_167170X;167170-99999;37.983;23.567;isd;hourly;GR;
GR_167180X;167180-99999;38.064;23.556;isd;hourly;GR;
GR_167190X;167190-99999;37.783;20.883;isd;hourly;GR;
GR_167193X;167193-99999;37.751;20.884;isd;hourly;GR;
GR_167210X;167210-99999;37.75;26.867;isd;hourly;GR;
GR_167211X;167211-99999;37.75;26.8;isd;hourly;GR;
GR_167230X;167230-99999;37.69;26.912;isd;hourly;GR;
GR_167240X;167240-99999;37.033;22.1;isd;hourly;GR;
GR_167260X;167260-99999;37.068;22.026;isd;hourly;GR;
GR_167263X;167263-99999;37.435;25.348;isd;hourly;GR;
GR_167264X;167264-99999;37.423;24.951;isd;hourly;GR;
GR_167300X;167300-99999;37.45;24.95;isd;hourly;GR;
